Year;Rank;Country;Documents;Citable.documents;Citations;Self.Citations;Citations.per.Document;H.index
1997;17;Poland;11790;11751;142478;40348;12,08;371
1997;18;Belgium;11645;11422;322695;41789;27,71;547
1997;19;Taiwan;11486;11414;179015;36837;15,59;331
1997;20;Israel;10726;10540;305880;40563;28,52;496
1997;21;Brazil;10700;10622;163078;50780;15,24;379
1997;22;Denmark;9032;8907;290320;39463;32,14;518
1997;23;Austria;8146;8005;202929;27082;24,91;449
1997;24;Finland;8092;8005;253244;37324;31,3;443
1997;25;Norway;6241;6187;161735;25364;25,91;402
1997;26;Ukraine;6110;6108;32182;9166;5,27;174
1997;27;Turkey;6015;5819;71800;20384;11,94;266
1997;28;Greece;5422;5338;98620;16893;18,19;326
1997;29;Hong Kong;5366;5266;100871;13866;18,8;359
1997;30;Czech Republic;5316;5292;69863;16761;13,14;294
1997;31;Mexico;5119;5067;85068;17967;16,62;289
1997;32;New Zealand;4994;4898;132262;20015;26,48;351
1997;33;Hungary;4715;4637;76242;13914;16,17;301
1997;34;Argentina;4671;4624;86288;17912;18,47;273
1997;35;South Africa;4571;4427;73482;15534;16,08;292
1997;36;Singapore;3681;3654;63402;7470;17,22;349
1997;37;Portugal;3161;3135;57283;10867;18,12;297
1997;38;Ireland;2851;2768;79241;7449;27,79;332
1997;39;Egypt;2799;2791;30775;6465;10,99;165
1997;40;Slovakia;2309;2291;29078;6288;12,59;180
1997;41;Romania;2240;2234;19746;4350;8,82;167
